comuna,distrito,domicilio_edificio,cui
1,1,LAVALLE 1681,200025
1,1,ESMERALDA 285,200026
1,1,JUNCAL 1258,200027
1,1,LIBERTAD 1257,200022
1,1,CARLOS PELLEGRINI 1515,200032
1,1,SAN MARTIN 458,200012
1,1,AVDA. PTE. MANUEL QUINTANA 31,200002
2,1,AVDA. SANTA FE 1510,200003
1,1,RECONQUISTA 461,200004
1,1,RODRIGUEZ PEÑA 747,200005
1,1,BASAVILBASO 1295,200006
1,1,LIBERTAD 581,200007
1,1,TALCAHUANO 680,200008
1,1,TTE. GRAL. JUAN DOMINGO PERON 1140,200009
1,1,AVDA. DEL LIBERTADOR 238,200024
1,1,LETONIA 1940,202680
1,1,LETONIA 26,202679
2,1,AYACUCHO 1680,200001
2,1,PEÑA 2670,200018
2,1,MARCELO T. DE ALVEAR 1840,200042
2,1,AVDA. GRAL. LAS HERAS 3086,200015
2,1,AYACUCHO 953,200033
2,1,AYACUCHO 1849,200016
2,1,LARREA 854,200017
2,1,AVDA. CORDOBA 1951,200029
3,1,SARMIENTO 2250,200013
3,1,AVDA. CALLAO 628,200023
3,1,LAVALLE 2366,200010
3,1,AVDA. CALLAO 450,200030
3,1,AVDA. CORDOBA 2016,200031
3,3,AYACUCHO 632,201863
14,1,JUNCAL 3131,200014
14,1,JERONIMO SALGUERO 2455,200020
14,1,JULIAN ALVAREZ 2849,200011
14,1,JUNCAL 3251,200028
2,2,ECUADOR 1158,200098
2,2,JOSE ANTONIO CABRERA 3484,200095
2,2,ARENALES 2733,200083
2,2,JOSE ANTONIO CABRERA 3430,200085
2,2,AVDA. SANTA FE 2778,200096
2,2,LAPRIDA 1235,200076
5,2,SANCHEZ DE BUSTAMANTE 260,200092
3,2,VALENTIN GOMEZ 3163,200099
5,2,AVDA. RIVADAVIA 3577,200097
3,2,JEAN JAURES 870,200094
3,2,DR. TOMAS MANUEL DE ANCHORENA 855,200093
3,2,TUCUMAN 3233,200081
5,2,BULNES 45,200106
5,2,MARIO BRAVO 234,200089
3,2,SARMIENTO 2832,200087
3,2,AVDA. PUEYRREDON 630,200086
3,2,DR. TOMAS MANUEL DE ANCHORENA 441,200079
5,2,AVDA. CORRIENTES 4261,200102
5,2,SARMIENTO 4041,200105
5,2,LEZICA 3955,200107
5,2,JERONIMO SALGUERO 920,200100
5,2,PRINGLES 1165,200091
5,2,FRANCISCO ACUÑA DE FIGUEROA 850,200090
6,2,AVDA. ANGEL GALLARDO 246,200088
5,2,OBRERO ROBERTO NUÑEZ 4355,200084
5,2,LAMBARE 975,200077
6,2,RIO DE JANEIRO 986,200080
14,2,SOLER 3929,200078
14,2,GRAL. LUCIO NORBERTO MANSILLA 3643,200120
14,2,EL SALVADOR 4037,200082
14,2,JOSE ANTONIO CABRERA 4078,200103
14,2,GUEMES 3859,200101
1,3,AVDA. SAN JUAN 1545,200137
1,3,CHACABUCO 922,200138
1,3,AVDA. INDEPENDENCIA 668,200141
1,3,AVDA. INDEPENDENCIA 672,200143
1,3,MEXICO 1627,200146
1,3,CHILE 1371,200145
1,3,TACUARI 567,200124
1,3,AVDA. INDEPENDENCIA 758,200168
1,3,CHILE 1626,200123
1,3,REPÚBLICA BOLIVARIANA DE VENEZUELA 771,200125
1,3,HUMBERTO 1° 1573,200126
1,3,CARLOS CALVO 1140,200127
1,3,PTE. LUIS SAENZ PEÑA 1215,200129
1,3,PTE. LUIS SAENZ PEÑA 463,200130
1,3,SALTA 1226,200132
3,3,MEXICO 2383,200131
3,3,MORENO 2104,200128
3,3,MORENO 2135,200140
3,3,AVDA. ENTRE RIOS 757,200139
1,3,PIEDRAS 1430,200144
3,3,PASCO 961,200135
3,3,AVDA. SAN JUAN 2277,200136
3,3,AVDA. ENTRE RIOS 1359,200133
3,3,AVDA. ENTRE RIOS 1341,200133
3,3,CONSTITUCION 1839,200133
3,3,AVDA. SAN JUAN 2128,200142
1,4,AVDA. PASEO COLON 255,200200
1,4,AVDA. INDEPENDENCIA 569,202145
1,4,HUMBERTO I° 343,200186
1,4,AVDA. SAN JUAN 353,200188
1,4,BOLIVAR 346,200194
1,4,AVDA. PASEO COLON 650,200195
1,4,BOLIVAR 1235,200199
4,4,RIO CUARTO 1993,200198
4,4,AVDA. DON PEDRO DE MENDOZA 1835,200178
4,4,BENITO QUINQUELA MARTIN 1081,200176
4,4,BRANDSEN 1057,200180
4,4,WENCESLAO VILLAFAÑE 1342,200197
4,4,ARISTOBULO DEL VALLE 471,200173
4,4,ROCHA 1226,200175
4,4,BRAUN MENENDEZ 260,200177
4,4,GRAL. GREGORIO ARAOZ DE LAMADRID 499,200179
4,4,SUAREZ 1131,200181
4,4,NECOCHEA 1136,200182
4,4,BENITO QUINQUELA MARTIN 1649,200193
4,4,RIO CUARTO 1249,200184
4,4,CALIFORNIA 1925,200187
1,4,DEFENSA 1431,200189
4,4,JOSE AARON SALMUN FEIJOO 1073,200190
4,4,GRAL. GREGORIO ARAOZ DE LAMADRID 676,200191
4,4,GRAL. GREGORIO ARAOZ DE LAMADRID 648,200178
4,4,HERNANDARIAS 556,200183
4,4,WENCESLAO VILLAFAÑE 453,200174
4,4,AVDA. DON PEDRO DE MENDOZA 1777,200196
4,5,DR. RAMON CARRILLO 317,200266
4,5,ARCAMENDIA 743,200259
4,5,SANTA MAGDALENA 431,200257
4,5,VIEYTES 942,200256
4,5,AVDA. MANUEL MONTES DE OCA 121,200254
1,5,AVDA. CASEROS 1555,200251
4,5,AVDA. MANUEL MONTES DE OCA 16,200250
4,5,VIEYTES 1469,200247
4,5,AVDA. MANUEL MONTES DE OCA 439,200226
4,5,AVDA. AMANCIO ALCORTA 1934,200230
4,5,SALOM 332,200235
4,5,AVDA. CASEROS 734,200229
4,5,AVDA. MANUEL MONTES DE OCA 807,200237
1,5,SAN JOSE 1985,200228
4,5,LUZURIAGA 1571,200231
1,5,SOLIS 1815,200227
4,5,GRAL. HORNOS 530,200224
4,5,SAN ANTONIO 682,200242
4,5,SAN ANTONIO 1136,200252
4,5,RIO CUARTO Y MONTESQUIEU,200281
4,5,AVDA. ALMAFUERTE 66,200225
4,5,PICHINCHA 1873,200246
4,5,LYNCH 3536,200244
4,5,IGUAZU 1110,200232
4,5,ALVARADO 3295,200248
4,5,AVDA. AMANCIO ALCORTA 2502,200245
4,5,TRAFUL 3847,200243
4,5,MANUEL GARCIA 370,200280
4,5,JUAN CARLOS GOMEZ 253,200253
4,5,JOSE A. CORTEJARENA 3350,200255
4,5,ELIA 473,200241
4,5,LAFAYETTE 1879,200233
4,5,PROF. DR. PEDRO CHUTRO 3380,200249
4,5,AVDA. CASEROS 2152,200240
4,5,CACHI 77,200236
4,5,ZAVALETA 204,200262
4,5,AVDA. GRAL. IRIARTE 3880,200261
4,5,AVDA. AMANCIO ALCORTA 3402,200238
4,5,TRAFUL 3835,200239
3,6,SAAVEDRA 15,200342
3,6,AVDA. JUJUY 255,200322
5,6,AVDA. BOEDO 650,200317
3,6,GRAL. URQUIZA 277,200324
3,6,AGRELO 3231,200303
3,6,AVDA. JUJUY 150,200318
3,6,SAAVEDRA 695,200299
3,6,GRAL. URQUIZA 227,200304
3,6,ADOLFO ALSINA 2499,200294
3,6,CATAMARCA 462,200298
5,6,AVDA. BOEDO 760,200323
3,6,LA RIOJA 1042,200325
4,6,DEAN FUNES 1821,200327
3,6,LA RIOJA 850,200296
3,6,CARLOS CALVO 3176,200328
4,6,GRAL. URQUIZA 2159,200329
4,6,INCLAN 3146,200330
3,6,HUMBERTO 1° 3187,200345
3,6,CARLOS CALVO 3150,200326
4,6,LA RIOJA 1846,200295
3,6,COCHABAMBA 2830,200319
5,6,AVDA. INDEPENDENCIA 3354,200316
3,6,HUMBERTO I° 2861,200315
3,6,24 DE NOVIEMBRE 1536,200300
4,6,CATULO CASTILLO 2852,200335
5,6,MAZA 1913,200343
3,6,AVDA. JUJUY 1471,200301
3,6,HUMBERTO I° 3171,200302
3,6,CARLOS CALVO 2827,200307
3,6,AVDA. JUJUY 780,200320
5,6,AVDA. BOEDO 1935,200344
5,6,AVDA. JUAN DE GARAY 3972,200311
5,6,CONSTITUCION 4154,200313
5,6,AVDA. BOEDO 657,200309
5,6,AVDA. BELGRANO 3767,200308
5,6,CASTRO BARROS 965,200305
5,6,TARIJA 4136,200310
5,6,QUINTINO BOCAYUVA 620,200297
6,7,CAMPICHUELO 100,200377
6,7,DR. ELEODORO LOBOS 437,200365
6,7,JUAN B. AMBROSETTI 601,200383
5,7,PRINGLES 263,200373
6,7,JUAN B. AMBROSETTI 699,200378
6,7,AVDA. DIAZ VELEZ 4659,200379
6,7,AVDA. RIVADAVIA 5161,200380
6,7,AVDA. RIVADAVIA 4817,200377
6,7,HIDALGO 635,200370
6,7,FELIPE VALLESE 835,200364
6,7,GRAL. MARTIN DE GAINZA 1050,200381
6,7,AVDA. GAONA 1502,200382
6,7,MENDEZ DE ANDES 1451,200375
7,7,FRANKLIN 1836,200362
6,7,AVDA. RIVADAVIA 6065,200356
7,7,MANUEL RICARDO TRELLES 948,200357
6,7,FELIPE VALLESE 975,200397
6,7,JOSE JUAN BIEDMA 459,200374
11,7,SANCHEZ 1858,200360
15,7,ARAOZ 234,200372
15,7,AVDA. CORRIENTES 5332,200353
15,7,CAMARGO 725,200354
6,7,CNEL. APOLINARIO FIGUEROA 1077,200359
11,14,FRAGATA PRESIDENTE SARMIENTO 1817,201865
6,7,NICASIO OROÑO 1431,200361
11,7,GALICIA 1857,200363
15,7,CNEL. APOLINARIO FIGUEROA 651,200366
15,7,JULIAN ALVAREZ 240,200367
11,7,ALEJANDRO MAGARIÑOS CERVANTES 1556,200368
6,7,LUIS VIALE 1046,200369
15,7,ROJAS 1554,200371
15,7,JULIAN ALVAREZ 123,200376
15,7,OLAYA 1565,200358
7,8,CACHIMAYO 1657,200408
7,8,SARAZA 470,200418
7,8,CACHIMAYO 1735,200417
7,8,BEAUCHEF 1869,200415
5,8,MUÑIZ 2147,200414
7,8,SARAZA 1353,200411
7,8,VICTOR MARTINEZ 1780,200419
7,8,SANTANDER 1150,200401
6,8,AVDA. JUAN BAUTISTA ALBERDI 1083,200431
6,8,SENILLOSA 650,200430
6,8,AVDA. RIVADAVIA 4950,200427
6,8,FORMOSA 136,200426
6,8,AVDA. JOSE MARIA MORENO 345,200425
5,8,HIPOLITO YRIGOYEN 4238,200422
7,8,AVDA. ASAMBLEA 153,200421
6,8,AVDA. JOSE MARIA MORENO 480,200406
5,8,QUITO 4045,200420
6,8,DEL BARCO CENTENERA 747,200403
5,8,AVDA. LA PLATA 1038,200404
6,8,AVDA. LA PLATA 623,200407
6,8,AVDA. JUAN BAUTISTA ALBERDI 163,200409
7,8,ESTRADA 627,200413
5,8,DON BOSCO 4200,200412
7,8,SALAS 565,200416
6,8,AVDA. PEDRO GOYENA 984,200410
7,8,AVDA. ASAMBLEA 1221,200405
6,8,PUAN 360,200402
7,8,HORTIGUERA 742,200423
7,8,AVDA. EVA PERON 1502,200400
7,8,EMILIO MITRE 1087,200429
7,8,AVDA. CURAPALIGÜE 1150,200428
14,9,AVDA. GRAL. LAS HERAS 4078,200471
14,9,GUEMES 4610,200459
14,9,THAMES 1361,200460
15,9,AGUIRRE 752,200441
14,9,URIARTE 2235,200464
14,9,AVDA. SANTA FE 3727,200467
14,9,MALABIA 2148,200470
14,9,JUAN FRANCISCO SEGUI 3755,200473
14,9,RAUL SCALABRINI ORTIZ 2760,200475
14,9,GUEMES 4059,200476
14,9,DARREGUEYRA 2460,200477
14,9,GUEMES 4615,200487
14,9,PARAGUAY 4301,200456
14,9,MALABIA 2252,200450
15,9,MALABIA 964,200457
14,9,COSTA RICA 4942,200440
15,9,GURRUCHAGA 739,200441
14,9,AVDA. RAUL SCALABRINI ORTIZ 1336,200443
13,9,VIRREY LORETO 3050,200446
14,9,NICARAGUA 5732,200474
14,9,AVDA. SANTA FE 5039,200445
14,9,AVDA. DEL LIBERTADOR 4777,200444
13,9,MOLDES 1102,200455
13,9,LA PAMPA 1240,200479
14,9,ARCE 611,200447
13,9,ZAPATA 449,200442
14,9,BONPLAND 1314,200478
13,9,CONDE 943,200451
13,9,AVDA. FEDERICO LACROZE 2971,200454
15,9,HUMBOLDT 742,200458
14,9,AREVALO 1408,200453
13,9,CONDE 223,200452
14,9,AVDA. DEL LIBERTADOR 4903,200461
14,9,AVDA. DORREGO 3723,200491
13,9,MOLDES 1220,200462
14,9,AVDA. DORREGO 3751,200472
14,9,EL SALVADOR 5528,200465
14,9,ANGEL JUSTINIANO CARRANZA 2045,200466
14,9,OLLEROS 2325,200449
14,9,AVDA. CABILDO 40,200468
15,9,LOYOLA 1500,200469
14,9,GORRITI 5740/5744,200448
13,10,AVDA. CRAMER 2136,200527
13,10,JURAMENTO 2945,200531
12,10,NUÑEZ 3620,200529
13,10,AVDA. MONROE 3061,200526
13,10,CONESA 1855,200521
12,10,AVDA. RUIZ HUIDOBRO 3853,200518
12,10,PINTO 3910,200515
13,10,AVDA. MONROE 3000,200513
12,10,LA PAMPA 3855,200512
13,10,AVDA. CONGRESO 3045,200510
12,10,ROQUE PEREZ 3545,200508
12,10,BESARES 2990,200500
13,10,AVDA. CRAMER 3271,200506
13,10,CUBA 2410,200530
13,10,MOLDES 2043,200499
13,10,O'HIGGINS 2441,200532
13,10,3 DE FEBRERO 2463,200533
13,10,AVDA. CABILDO 3615,200501
13,10,AVDA. DEL LIBERTADOR 8635,200528
13,10,JUANA AZURDUY 2541,200498
13,10,CUBA 2039,200496
13,10,MCAL. ANTONIO JOSE DE SUCRE 1367,200517
13,10,MOLDES 1854,200497
13,10,O'HIGGINS 3401,200524
12,10,RUIZ HUIDOBRO 2643,200507
13,10,ARCOS 2440,200511
13,10,AVDA. INTENDENTE CANTILO Y LA PAMPA,200505
13,10,AVDA. CONGRESO 1553,200514
13,10,FRANKLIN DELANO ROOSEVELT 1510,200516
12,10,PICO 2689,200509
13,10,O'HIGGINS 3050,200503
13,10,RAMSAY 2250,200519
13,10,MCAL. ANTONIO JOSE DE SUCRE 2284,200520
13,10,MENDOZA 1000,200502
13,10,AVDA. MIGUEL SANCHEZ 1050,200523
13,10,11 DE SEPTIEMBRE DE 1888 3451,200504
13,10,CARLOS E. ZUBERBÜHLER 1850,200525
7,11,AVDA. VARELA 1040,200554
7,11,LAUTARO 1440,200561
7,11,SAN PEDRITO 1137,200569
7,11,AVDA. VARELA 1425,200573
7,11,PUMACAHUA 1247,200555
7,11,AVDA. SAN PEDRITO 1415,200552
7,11,AVELINO DIAZ 2356,200568
7,11,AVDA. SAN PEDRITO 341,200576
7,11,PUMACAHUA 390,200575
7,11,AVDA. CARABOBO 286,200574
7,11,AVDA. JUAN BAUTISTA ALBERDI 1845,200572
7,11,CNEL. RAMON L. FALCON 2248,200571
7,11,LAUTARO 752,200570
10,11,CNEL. RAMON L. FALCON 4126,200549
7,11,AVDA. LAFUENTE 559,200558
10,11,MARIANO ACOSTA 45,200551
9,11,MARIANO ACOSTA 1071,200579
7,11,PORTELA 734,200553
7,11,CNEL. RAMON L. FALCON 2934,200557
10,11,CNEL. RAMON L. FALCON 4151,200550
9,11,GREGORIO DE LAFERRERE 3624,200559
7,11,AVDA. VARELA 753,200560
7,11,AVDA. CARABOBO 253,200563
7,11,PRIMERA JUNTA 3445,200564
9,11,GRAL. EUGENIO GARZON 3950,200565
10,11,JOSE BONIFACIO 3650,200566
9,11,BALDOMERO FERNANDEZ MORENO 3652,200567
7,11,VARELA 358,200556
7,12,BOGOTA 2759,200608
10,12,GRAL. VENANCIO FLORES 3869,200600
10,12,MORON 3745,200601
7,12,DR. JUAN FELIPE ARANGUREN 2605,200605
7,12,CONDARCO 290,200606
7,12,PJE. LA PORTEÑA 54,200607
7,12,GRAL. JOSE GERVASIO DE ARTIGAS 690,200609
7,12,CARACAS 48,200615
10,12,SAN NICOLAS 588,200612
7,12,FRAY CAYETANO RODRIGUEZ 95,200599
10,12,JOAQUIN V. GONZALEZ 307,200604
7,12,GRAL. JOSE GERVASIO DE ARTIGAS 878,200588
7,12,DR. JUAN FELIPE ARANGUREN 2400,200596
7,12,CARACAS 10,200585
7,12,AVDA. AVELLANEDA 2547,200595
10,12,JOAQUIN V. GONZALEZ 180,200586
7,12,YERBAL 2370,200584
10,12,BACACAY 3542,200592
10,12,BAHIA BLANCA 1551,200597
10,12,DR. LUIS BELAUSTEGUI 3751,200594
10,12,MERCEDES 1405,200593
11,12,CAMARONES 3559,200610
11,12,CARACAS 1249,200587
11,12,GAVILAN 1464,200611
11,12,ALEJANDRO MAGARIÑOS CERVANTES 2865,200598
11,12,GRAL. CESAR DIAZ 3050,200591
11,12,SAN BLAS 2238,200603
11,12,REMEDIOS DE ESCALADA DE SAN MARTIN 2986,200602
11,12,CONDARCO 1129,200618
11,12,SAN BLAS 2962,200590
11,12,CARACAS 2057,200589
9,13,HOMERO 1157,200637
9,13,JOSE ENRIQUE RODO 4431,200638
9,13,AVDA. BRUIX 4620,200640
9,13,PIO COLLIVADINO 436,200643
9,13,LACARRA 535,200644
9,13,LACARRA 621,200645
9,13,SAN PEDRO 4457,200635
9,13,GRAL. EUGENIO GARZON 4346,200634
10,13,RAFAELA 5159,200619
9,13,LACARRA 1135,200628
10,13,CNEL. RAMON L. FALCON 4801,200624
10,13,AVDA. JUAN BAUTISTA ALBERDI 4755,200625
8,13,AVDA. TTE. GRAL. DELLEPIANE 4750,200633
8,13,OLIDEN 2851,200629
9,13,ZINNY 1641,200623
8,13,ECHEANDIA 5650,200639
8,13,MIRALLA 2666,200627
9,13,SARAVIA 2358,200626
9,13,SAN PEDRO 5845,200632
9,13,CHASCOMUS 5598,200620
9,13,BRAGADO 5350,200631
9,13,LARRAYA 2055,200630
9,13,AVDA. LARRAZABAL 1556,200621
9,13,MANUEL ARTIGAS 5951,200622
9,13,ALBARIÑO 2062,200636
9,13,MURGUIONDO 1568,200642
9,13,ACASSUSO 6138,200655
9,13,ACASSUSO 5860,200641
15,14,AVDA. SAN MARTIN 5021,200677
15,14,GIRIBONE 1961,200685
15,14,NICASIO OROÑO 2131,200679
15,14,BALBOA 210,200680
15,14,LEIVA 4274,200682
15,14,AVDA. DEL CAMPO 1340,200683
11,14,CARACAS 2372,200678
15,14,AVDA. TRIUNVIRATO 3626,200686
