n_proyecto,proy,cui,escuela,direccion,intervenciones,estado,subestado,fuente,programa,ano_plan,avance_de_obra_real,dgar,inicio_obra,plazo_obra,ampliacion_plazo,fin_obra,ppto_estimado
x139,x193,NA,maternidad sarda,la rioja 1945 - reemplazo maternidad sarda,obra nueva reemplazo maternal e inicial,en proyecto,en proyecto,f11,remplazo,2024,NA,30/03/2024,28/07/2024,540,-,19/01/2026,"$700.000.000,00"
x140,x262,NA,parque de la ciudad,parque de la ciudad -  avda. f.f. de la cruz s/n,"pileta, rejas, provision de cable y parquizacion",licitación,licitación,f11,mejora edilicia,2024,NA,31/08/2023,29/12/2023,120,x,27/04/2024,"$95.772.377,60"
x141,x308,NA,NA,polideportivo lascano x2,"adecuacion de playon polideportivo para primaria y media sobre terreno lateral y relleno de pileta existente en sector inicial para patio exterior, instalacion electrica exterior pintura de canchas",planificado,planificado,f11,mejora edilicia,2024,NA,4/09/2024,2/01/2025,NA,NA,NA,NA
x142,x312,NA,compra abierta,reparacion de cubiertas,plan integral de mejora en cubiertas plan 54,planificado,planificado,f11,mejora edilicia,2024,NA,NA,NA,NA,NA,NA,NA
x143,x313,NA,compra abierta,reparacion de fachadas,plan integral de mejora en fisuras en fachadas plan 54,planificado,planificado,f11,mejora edilicia,2024,NA,NA,NA,NA,NA,NA,NA
x144,x379,NA,polo mugica,letonia y avda. antártida argentina,"reparacion de filtraciones, revestimientos",planificado,a iniciar proyecto,f11,mejora edilicia,2024,NA,8/04/2024,6/08/2024,240,NA,3/04/2025,NA
x145,x307,200007,escuela primaria común n° 07 - presidente roca,libertad 581 - 2 etapa,"reparacion de revoques, pintura de sector no incluido en pliego",planificado,planificado,f11,mejora edilicia,2025,NA,29/11/2024,29/03/2025,360,NA,24/03/2026,NA
x146,x068,200009,familia de cabezon,tte. gral. juan domingo peron 1140,"adecuacion de cubierta , sanitario ,electricidad , cielorraso , carpinteria.  arreglo de revoques  en aulas y patio .   adecuacion pintura interior de areas significantes  y patio",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x147,x336,200086,supervisión de nivel primaria de 02,avda. pueyrredon 630,adecuacion de pileta y sus instalaciones plan mejora de patio+muros+acond gas-electricidad+ sanitarios y pintura en areas significativas,planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x148,x337,200093,tomas manuel de anchorena,dr. tomas manuel de anchorena 855,"adecuacion de sanitarios, pintura, instalacion electrica e incendio",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x149,x380,200094,NA,jean jaures 870,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x150,x327,200106,esea en danza ramicone curso vocacional de folklore n° 10,bulnes 45,NA,planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x151,x310,200142,centro integrador almafuerte,avda. san juan 2128,"pintura general, adecuacion sanitarios, cubiertas, accesibilidad basica, ampliacion sector polideportivo",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x152,x381,200144,NA,av. larrazabal 5130,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x153,x228,200177,carlos della penna,braun menendez 260/manuel galvez 156,"impermeabilización de azoteas. reparación de carpinterías existentes del primer piso con problemas de oxidación. pintura de rejas en planta alta, nivel a y b. reparaciones en fachadas de patio interno en planta baja:pintura y limpieza. intervención de solados – mal estado. demolición de mesadas en dos aulas del nivel inicial. provisión y colocación de bicicletero en el acceso del edificio. trabajos varios de jardinería en canteros. accesibilidad: provisión y colocación de ascensor para comunicar la planta baja y primer piso. ejecución de rampa para salvar un desnivel entre primer piso y la azotea.",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x154,x250,200187,presidente derqui,california 1925,"plan mejora en   adecuacion   inst electrica , patio , muros ,carpinteria  y  pintura en areas significativas",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x155,x225,200197,esc.sup.de edu. artistica en artes visuales manuel belgrano,w villafañe 1342,"plan mejora en   adecuacion   inst electrica , patio , muros ,carpinteria, sanitarios, cubierta  y  pintura en areas significativas",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x156,x315,200214,eem n° 02/04° e.reingreso,avda. regimiento de patricios 1933,NA,planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x157,x382,200236,NA,cachi 77,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x158,x309,200246,miguel de azcuenaga,pichincha 1873,"fachadas, pintura general, adecuacion sanitarios, patios, instalacion electrica y calefaccion",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x159,x383,200249,NA,prof. dr. pedro chutro 3380,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x160,x384,200254,NA,av. montes de oca 121,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x161,x240,200295,esc. primaria común n° 02 josé maria gutiérrez,la rioja 1846,"muros, patio, carpinteria, inst electrica, prov agua, acc basica y pintura. catalogacion?",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x162,x331,200318,liceo nº 10 ricardo rojas de 06,avda. jujuy 150,"fachadas, reparacion de humedad de cimientos, carpinterias, pintura general, adecuacion de instalacion electrica y reparacion fltraciones",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x163,x385,200322,NA,av. jujuy 255,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x164,x386,200332,NA,venezuela 3259,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x165,x387,200344,NA,av boedo 1935,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x166,x338,200353,tomasa de la quintana de escalada,avda. corrientes 5332,"plan mejora en   fachad , medianeras, adecuacion   inst electrica , patio , muros ,carpinteria, sanitarios, cubierta  y  pintura en areas significativas",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x167,x247,200376,esc. de com. nº 16 gabriela mistral de 07,julian alvarez 123,instalación electrica y pintura,planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x168,x388,200381,NA,gral. martin de gainza 1050,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x169,x389,200407,NA,av. la plata 623,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x170,x390,200410,NA,av. pedro goyena 984,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x171,x245,200430,"esc. para niños, niñas y jovenes con discapacidad visual nº 33 santa cecilia de 08",senillosa 650,plan mejora de patio+terrazas +acond sanitarios+ prov agua+acc plena+ electrica y pintura en areas significativas,planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x172,x236,200461,jardín de infantes común n° 02/09° granaderos de san martín,libertador 4903,adecuacion de fachada+  patios + muros+carpinterias+   inst electrica + inst gas-calefacc y pintura en areas significativas evaluar posible mejora en pileta -instalaciones-. catalogación.,planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x173,x391,200474,NA,nicaragua 5732,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x174,x368,200475,esc. para niños y niñas con severos trastornos de la personalidad n° 17 arminda aberastury,scalabrini ortiz 2760 - reemplazo cordoba,NA,planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x175,x348,200476,esc. para niños y niñas con discapacidad mental n° 25 macacha güemes,güemes 4059,NA,planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x176,x392,200521,NA,conesa 1855,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x177,x096,200523,inst. superior de educación física n° 01 dr. enrique romero brest,natatorio romero brest -avda. miguel sanchez 1050,adecuacion de pileta y sus instalaciones plan mejora de patio+muros+acond gas-electricidad+ sanitarios y pintura en areas significativas,planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x178,x224,200523,inst. sup. de ed. fisica nº 01 dr.enrique romero brest de 10,miguel sanchez 1050,"plan mejora en   adecuacion   inst electrica, gas  , patio , muros ,carpinteria, sanitarios, cubierta  y  pintura en areas significativas",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x179,x333,200526,pi el mundo del revés,avda. monroe 3061,NA,planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x180,x325,200527,esc. de educ. media nº 05 heroes de malvinas de 10,avda. cramer 2136,"adecuacion sanitarios, pintura integral donde no se hizo sdf, mejora de cubierta en sum y patio",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x181,x393,200565,NA,gral. eugenio garzon 3950,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x182,x330,200579,jin a de 11 baldomero fernandez moreno (esc.prim.n°21de11),mariano acosta 1071,"adecuacion de sanitarios, pintura, instalacion electrica e incendio",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x183,x394,200585,NA,caracas 10,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x184,x365,200590,esc. primaria común n° 07 jorge newbery - jardín de infantes nucleado b (epcjs 07/12°),san blas 2962,"plan mejora en   adecuacion   inst electrica, cielorraso  , patio , muros ,carpinteria, cubierta  y  pintura en areas significativas",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x185,x339,200610,esc. para jóvenes y adultos con discapacidad mental y formación integral n° 16 dra. c tobar garcía,camarones 3559,NA,planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x186,x342,200620,jin b (epcjc 02/13°),chascomus 5598,NA,planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x187,x395,200624,NA,cnel. ramon l. falcon 4801,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x188,x358,200627,epc n° 09 homero manzi,miralla 2666,NA,planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x189,x299,200633,republica argentina,dellepiane 4750 / castañares 4689,"adecuacion de instalacion electrica, cubiertas y carpinterias",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x190,x221,200642,liceo nº 08 esteban echeverria de 13,murguiondo 1568,"plan mejora en   adecuacion  patio, inst gas-calefaccion ,electricidad  y  pintura en areas significativas",planificado,planificado,f11,mejora edilicia,2025,NA,18/06/2024,16/10/2024,270,NA,13/7/2025,NA
x191,x253,200658,epc n° 02 gral. mariano acha,roseti 1450,"plan mejora en   adecuacion   cocina , comedor ,  cubierta  y reparacion revoques y pintura en areas significativas + evaluacion estado polideportivo. acustizar comedor.",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x192,x328,200669,fray justo santa maria de oro,alvarez jonte 1964,"cubiertas, pintura general, carpinterias, humedad ascendente, inst agua, adecuacion electrica y ademas ver informe ingeniero sobre posible ampliacion",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x193,x396,200676,NA,bolivia 2569,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x194,x397,200689,NA,boyaca 2152,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x195,x303,200715,esc. primaria común n° 16 ejército de los andes,av. triunvirato 4247,reparacion de cubierta (fondos covid),planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x196,x306,200728,escuela de educación media n° 05/15°,tronador 4134,"reparación de humedad de cimientos, reparación de las mamposterías afectadas y pintura integral. impermeabilización de cubiertas, en sector con filtraciones y respiración de cielorrasos.
acondicionamiento de baños",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x197,x229,200745,dr luis pasteur,nahuel huapi 5740,"adecuacion  inst  gas-calefaccion, patio , muros ,cubierta, acesibilidad basica, pintura  + salida independiente para inicial",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x198,x398,200747,NA,mercedes 4966,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x199,x399,200747,NA,mercedes 4966,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x200,x349,200769,epc n° 02 prof. juan jose millan,helguera 3228,"adecuacion de sanitarios, pintura, cubierta, electrica",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x201,x400,200770,NA,argerich 2849,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x202,x401,200773,NA,cnel. pedro calderon de la barca 3053,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x203,x402,200784,NA,av. salvador maria del carril 4957,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x204,x263,200807,monte castro,avda. alvarez jonte 4651,"plan mejora cubiertacon impermeabilizacion, pintura y reparacion de revoques y cielorrasos, acondicionamiento de instalacion electrica y calefaccion",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x205,x403,200810,NA,yerbal 4965,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x206,x346,200827,colegio n° 13 cnel. tomas espora,gallardo 149,"instalacion electrica, accesibilidad, pintura , patios",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x207,x404,200828,NA,san blas 5387,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x208,x356,200832,esea 02 j donn,magariño cervantes  5068,NA,planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x209,x219,200864,guillermo jose barros,mariano acosta 2976,"mejora edilicia, reparacion de cubiertas, adecuacion de instalaciones sanitarias, electricas y pluvial. reparacion de muros y pintura integral",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x210,x216,200873,"esc. para niños, niñas y jovenes con discapacidad mental y de formación integral nº 7 juan xxiii de 19",mariano acosta 2936,plan mejora de  patio+ inst gas-calefaccion + cubierta  y reparacion de revoques y pintura en areas significativas,planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x211,x405,200909,NA,garcia de cossio 5570,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x212,x359,200920,jic n° 02/20°,montiel 1174 - reemplazo en terreno nuevo,obra nueva reemplazo inicial montiel 1174,planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x213,x354,200952,jic n° 04/21°,jose ignacio rucci 3961,NA,planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x214,x305,200964,esc.sup.de educ. artistica en artes visuales lola mora,soldado de la frontera 5155,"sanitarios, cubierta, pintura general",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x215,x406,200965,NA,piedras 1430,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x216,x372,NA,NA,timoteo gordillo - cañada de gómez 4548,agrupacion de jines,planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x217,x375,NA,NA,varela y cruz - profesionalizante,NA,planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x218,x370,200078,esc. primaria común n° 04 amadeo jacques /jardín de infantes nucleado a (epcjs 04/02°),soler 3929,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x219,x060,200136,gervasio posadas,avda. san juan 2277,proyecto de accesibilidad y pintura general. agregar impermeabilización. expediente: construccion de galeria en patio para paso (jardin),planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x220,x230,200140,esc. de com. nº 34 monseñor miguel de andrea de 03,moreno 2135,patios + muros+carpinterias+   inst electrica y pintura en areas significativas y evaluar posible crecimiento aulico. catalogacion?,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x221,x353,200143,esc. para jóvenes y adultos con discapacidad visual y formación integral n° 37 francisco gatti,independencia 672,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x222,x087,200178,benito quinquela martin,avda. don pedro de mendoza 1835,"acondicionamiento  de cubierta, instalacion sanitario, electrica e incendio. arreglo de revoques menores en aulas.  adecuacion pintura interior de areas significantes  y patio.",planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x223,x334,200317,sup inicial i b,avda. boedo 650,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x224,x352,200330,esc. integral interdisciplinaria n° 06,inclan 3146,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x225,x314,200358,delfin jijena,olaya 1565,"reparacion de revoques, pintura general, instalacion electrica, cubiertas y pluviales, carpinterias",planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x226,x319,200417,epc n° 23 canada,cachimayo 1735,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x227,x350,200423,esc. integral interdisciplinaria n° 08 luis vernet,hortiguera 742,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x228,x232,200479,escuela integral interdisciplinaria nº 09 de 09,la pampa 1240,"plan mejora en   adecuacion fachada,  inst electrica , patios, fisuras , muros ,carpinteria , cubierta, sanitarios, cocina , reparacion de revoques y   pintura en areas significativas  // chequear catalogacion",planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x229,x355,200531,cbfo n° 03 olga cossettini,juramento 2945,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x230,x374,200554,esc. primaria común n° 06 dr. carlos vaz ferreira,varela 1040,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x231,x367,200569,esc. primaria común n° 23 gral. de división manuel n. savio,san pedrito 1137,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x232,x347,200611,esc. integral interdisciplinaria n° 12,gavilan 1464,"instalacion electrica, accesibilidad, pintura",planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x233,x320,200636,epc n°19 caja nac. de ahorro y seguro,albariño 2062,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x234,x323,200683,esc. de com. n° 24 dr. dalmacio velez sarsfield,avda. del campo 1340,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x235,x351,200748,epc n° 09 irlanda,ibera 5734,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x236,x345,200754,jin b (epcjc 16/16°) juana azurduy,gabriela mistral 3376,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x237,x318,200758,epc n° 22 republica de nicaragua,bazurco 2551,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x238,x324,200762,esc. de educ. media nº 01 rodolfo walsh de 16,argerich 5651,"reparacion de cubiertas, filtraciones, revoques, carpinterias, mejora en cielorrasos y pintura general",planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x239,x343,200792,esc. tec. n° 16 españa,concordia 3555,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x240,x340,200814,epc n° 13 cnel. jose antonio melian,camarones 4351,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x241,x335,200844,sup inicial vi a a sup primaria de19,alagon 300,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x242,x317,200857,epc n° 14 capit.maria remedios del valle,avda. intendente francisco rabanal 2751,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x243,x326,200872,"esc. para niños, niñas con discapacidad mental nº 05 dr.angel s.ardaiz de 19",ferre 1957,"accesibilidad, sanitarios, pintura",planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x244,x344,200910,epc n° 13 republica de filipinas,cosquin 1943,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x245,x316,200955,epc n° 13 dr. alfredo lanari,avda. piedra buena 4863,"adecuacion de cubierta, sanitarios, termomecanica, patios y pintura",planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x246,x369,200966,centro de formación profesional n° 04 (anexo),soldado de la frontera 5140,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x247,x364,200175,epc n° 03 juan maria gutierrez,rocha 1226,NA,planificado,planificado,f11,mejora edilicia,2027,NA,NA,NA,NA,NA,NA,NA
x248,x373,200357,esc. primaria común n° 05 juan b. peña,trelles 948,NA,planificado,planificado,f11,mejora edilicia,2027,NA,NA,NA,NA,NA,NA,NA
x249,x357,200375,epc n° 25 republica de guatemala,mendez de andes 1451,NA,planificado,planificado,f11,mejora edilicia,2027,NA,NA,NA,NA,NA,NA,NA
x250,x376,200419,escuela infantil n° 04/08° agustín tatín ravello,victor martinez 1780,NA,planificado,planificado,f11,mejora edilicia,2027,NA,NA,NA,NA,NA,NA,NA
x251,x366,200612,centro de formación profesional n° 17 (anexo),san nicolas 588,NA,planificado,planificado,f11,mejora edilicia,2027,NA,NA,NA,NA,NA,NA,NA
x252,x377,200623,esc. primaria común n° 05 roberto billinghurst,zinny 1641,"adecuacion de cubierta, instalacion electrica, pintura general",planificado,planificado,f11,mejora edilicia,2027,NA,NA,NA,NA,NA,NA,NA
x253,x341,200710,epc n° 11 fray luis beltran,capdevila 3156,NA,planificado,planificado,f11,mejora edilicia,2027,NA,NA,NA,NA,NA,NA,NA
x254,x371,200846,esc. primaria común n° 03 prof. carlos justo florit,tilcara 2856,NA,planificado,planificado,f11,mejora edilicia,2027,NA,NA,NA,NA,NA,NA,NA
x255,x361,200850,epc n° 07 aeronautica argentina,quilmes 473,NA,planificado,planificado,f11,mejora edilicia,2027,NA,NA,NA,NA,NA,NA,NA
x256,x360,200919,jii n° 01/20°,montiel 3826,NA,planificado,planificado,f11,mejora edilicia,2027,NA,NA,NA,NA,NA,NA,NA
