cui,ano,prestaciones,descripcion_obra
0200001,2023,Albañileria / Pintura,Adecuacion de gas
0200001,2023,Calefaccion y Refrigeracion,Cambio de aprox 10 equipos y calderas.
0200001,2023,Carpinterías,Colocacion de red antipalomas pb y films
0200001,2023,Electricidad,"Reparacion de Sistema de Vigilancia, Colocacion de ventiladores"
0200001,2023,Sanitarias,Cambio de 2 inodoros
0200002,2023,Electricidad,"Instalacion  Espacios Seguros, Reemplazar 2 ventiladores en jardín, Provisión e inst de portero visor"
0200002,2023,Sanitarias,Adecuación de instalaciones sanitarias p
0200004,2023,Albañileria / Pintura,Reemplazo de solado en gimnasio
0200005,2023,Gas,Reposición de termotanque de casera
0200005,2023,Medios de elevación,Puesta en operación de montasillas
0200006,2023,Electricidad,Cambio de ventiladores
0200007,2023,Albañileria / Pintura,Reemplazo de solado en aulas
0200007,2023,Sanitarias,Reparación de colector tanque de agua
0200008,2023,Calefaccion y Refrigeracion,"Reparacion integral sistema calefaccion, Puesta en marcha de Sist de calefacción"
0200008,2023,Electricidad,Espacios seguros
0200010,2023,Albañileria / Pintura,Adecuacion de instalacion de gas
0200011,2023,Gas,CAMBIO DE TERMOTANQUE
0200013,2023,Calefaccion y Refrigeracion,Tablero de instalación de ventiladores
0200013,2023,Electricidad,Instalacion de ventiladores
0200014,2023,Electricidad,Insalación de seguridad
0200014,2023,Incendio,Reponer punta de lanza hidrante
0200015,2023,Albañileria / Pintura,"Freno de deterioro de cornisas perimetra, Pintura de biblioteca pb"
0200015,2023,Gas,Adecuaciones en la instacion de gas
0200016,2023,Albañileria / Pintura,Sala de maquinas a tanques de bombeo
0200016,2023,Electricidad,Colocacion de 8 ventiladores de pared
0200017,2023,Albañileria / Pintura,"Puesta en valor de 3 aulas en 1er piso, Puesta en valor de dos aulas en 1er pis"
0200017,2023,Electricidad,Provisión de generador por falta de luz
0200017,2023,Sanitarias,Prov.Coloc mingitorio
0200018,2023,Gas,Adecuaciones en la instacion de gas
0200018,2023,Medios de elevación,Rampa movil en acesso principal
0200020,2023,Electricidad,"Instalación de reflectores, Insalación de seguridad"
0200020,2023,Incendio,reemplazo de  4 matafuegos
0200022,2023,Electricidad,Instalacion  Espacios Seguros
0200023,2023,Albañileria / Pintura,Realizar 4 aulas del futuro
0200023,2023,Calefaccion y Refrigeracion,Provision e instalacion de calderas
0200023,2023,Carpinterías,Prov. e instalacion cortinas black out S
0200023,2023,Cubiertas / Impermeabilizaciones,Impermeabilizacion de azotea de 4 aulas
0200023,2023,Electricidad,"Ejecucion Espacios Seguros, Reemplazar 7 ventiladores"
0200024,2023,Electricidad,Adecuación SDF 2023
0200024,2023,Otros Servicios,"Instalación en espacios seguros, Tareas Complementarias Eléctricas"
0200025,2023,Carpinterías,Prov y coloc cortinas aulas del futuro
0200025,2023,Electricidad,INSTALACION EN ESPACIOS SEGUROS
0200026,2023,Electricidad,INSTALACION EN ESPACIOS SEGUROS
0200026,2023,Medios de elevación,Puesta en servicio de ascensor
0200028,2023,Calefaccion y Refrigeracion,Cambio de Caldera
0200028,2023,Carpinterías,Protección rejas
0200028,2023,Incendio,Reemplazo de 1 matafuego
0200029,2023,Calefaccion y Refrigeracion,Puesta a noramtiva de calderas
0200029,2023,Carpinterías,"Prov,coloc 3 puertas reja acceso aulas"
0200029,2023,Electricidad,"Reemplazo de 19 ventiladores de pared, Realizar circuito independiente de tomas, Instalacion electrica en sala de tanques, Colocacion de 11 ventiladores de techo"
0200029,2023,Incendio,Reemplazo de componentes de ascensor
0200029,2023,Sanitarias,Cambio de 3 inodoros
0200030,2023,Gas,Adecuación de instalación de gas
0200030,2023,Medios de elevación,Reparación de plataforma elevadora
0200031,2023,Albañileria / Pintura,Pintura de Paredes pasillos 1er/2do piso
0200031,2023,Carpinterías,Rejas y protecciones de seguridad
0200031,2023,Electricidad,Iluminacion sector Bilblioteca
0200033,2023,Calefaccion y Refrigeracion,Puesta a normativa 2 calderas
0200033,2023,Cubiertas / Impermeabilizaciones,Reparar filtraciones en pared
0200076,2023,Gas,Adecuaciones en la de instalación de gas
0200076,2023,Sanitarias,Prov y coloc   inodoro en baño de varone
0200080,2023,Gas,Readecuación de la instlación de gas
0200080,2023,Medios de elevación,Reparación del montasilla de ingreso
0200080,2023,Sanitarias,Cambio del calefon a gas casa casera
0200082,2023,Electricidad,Protocolo espacios seguros
0200083,2023,Albañileria / Pintura,Puesta en valor de 2 aulas de PB
0200083,2023,Electricidad,"Prov y colocación de ventiladores SUM, Prov y coloc  luces de emergencia"
0200084,2023,Electricidad,Reemplazo de 3 ventiladores de techo
0200084,2023,Otros Servicios,Protecciones para artefacto de gas
0200085,2023,Albañileria / Pintura,Demol cielorraso/puerta reja/Inst. 2 AA
0200085,2023,Calefaccion y Refrigeracion,Adicional por conexionados de AA
0200086,2023,Electricidad,Espacios seguros Inst. alarmas y sensore
0200086,2023,Sanitarias,Reposición termo tanque en casa casero
0200087,2023,Calefaccion y Refrigeracion,Reponer aire acondicionado sala amarilla
0200087,2023,Carpinterías,"Colocar malla metálica en ventilación, Colocar red de protección anticaida"
0200087,2023,Electricidad,"Reparar/reemplazar ventilador., Instalacion de grupo electrogeno"
0200090,2023,Albañileria / Pintura,Primera etapa núcleo baño
0200090,2023,Electricidad,"Prov. Inst. sistema Espacio Seguro, Conexión cañería de agua, tanques, Provisión y colocacion de ventiladores"
0200091,2023,Calefaccion y Refrigeracion,Colocación de 2 caloventores
0200091,2023,Electricidad,Espacios seguros
0200093,2023,Electricidad,Reemplazo de Ventiladores
0200093,2023,Gas,Adecuacion de instalacion de gas
0200094,2023,Gas,Reparación en instalación de gas
0200095,2023,Carpinterías,Ejecución estructura para aro basquet
0200096,2023,Electricidad,"Prov y coloc 2 ventiladores para gym., Prov. Coloc sistema de alarma con sensor"
0200096,2023,Sanitarias,Prov.Coloc inodoro en baño de mujeres
0200097,2023,Albañileria / Pintura,"Readecuacion aulas para SDF., Reemplazo de matafuegos"
0200097,2023,Carpinterías,Adicional de 6 cerraduras para aulas
0200097,2023,Cubiertas / Impermeabilizaciones,IMPERMEABILIZACIÓN DE AZOTEA
0200097,2023,Electricidad,"Prov. Inst. sistema Espacio Seguro, Reemplazar ventiladores de techo"
0200098,2023,Albañileria / Pintura,"Prov. coloc placas antihumedad, Impermeabilización azotea y cielorraso H"
0200098,2023,Carpinterías,Proteccion metalica en balcones y escale
0200098,2023,Electricidad,Prov. Coloc sistema de alarmas rectoria
0200098,2023,Gas,Adecuación de la Instalación de Gas
0200098,2023,Sanitarias,Prov y coloc inodoro en baño de varones
0200099,2023,Calefaccion y Refrigeracion,Bombas de sistema de calefacción
0200099,2023,Electricidad,Espacios seguros Inst. alarmas y sensore
0200099,2023,Gas,Reparación en instalación de gas
0200100,2023,Albañileria / Pintura,"Reacondicionamiento de 6 aulas, Adecuaciones de i. de gas, Reparación de calderas-adicional"
0200100,2023,Carpinterías,Rejas para puerta en sala digital P.B
0200100,2023,Electricidad,"Espacios seguros, Reemplazo de un ventilador de pared"
0200102,2023,Albañileria / Pintura,Secundaria del Futuro en 2 piso
0200102,2023,Carpinterías,Cambio de 4 cerraduras puerta antipánico
0200102,2023,Electricidad,Reemplazo de 6 ventiladores de techo
0200102,2023,Medios de elevación,"Ascensor dañado por vandalismo, Cambio de puerta cabina del ascensor"
0200102,2023,Sanitarias,Reposición de 3 inodoros
0200103,2023,Calefaccion y Refrigeracion,Provision e instalacion de Calefactor
0200103,2023,Carpinterías,Proteccion ventanas en fachada
0200104,2023,Electricidad,Cambio de ventilador en Dirección
0200105,2023,Albañileria / Pintura,Reparación de fachada del Polideportivo
0200106,2023,Calefaccion y Refrigeracion,"Acondicionar 4 calefactores del taller, Reponer fancoil sector administrativo"
0200120,2023,Incendio,"Reemplazo de 3 matafuegos, Reemplazo de 8 matafuegos"
0200126,2023,Carpinterías,Puerta reja sobre LM
0200126,2023,Electricidad,Reemplazo de portero eléctrico
0200127,2023,Otros Servicios,Cambio de termotanque casa casera
0200128,2023,Albañileria / Pintura,Circuito para tomas
0200128,2023,Carpinterías,Colocación de puerta de rejas
0200128,2023,Electricidad,"Ejecucion Espacios Seguros, Reemplazo de Ventiladores"
0200129,2023,Electricidad,Reemplazo ventiladores de pared en aulas
0200130,2023,Sanitarias,Reemplazo de inodoro
0200131,2023,Albañileria / Pintura,Reparación de patología en fachada
0200132,2023,Electricidad,Cambio de ventiladores
0200133,2023,Electricidad,Instalación en espacios seguros
0200133,2023,Gas,"Adecuación de inst de gas a Normativa, REPONER MEDIDOR DE GAS EN COCINA, Reparacion segun informe MetroGas"
0200135,2023,Carpinterías,Protecciones en ventanas 1° piso
0200135,2023,Electricidad,Reemplazo de ventiladores de techo
0200136,2023,Sanitarias,Reparaciones en tanque de agua
0200137,2023,Albañileria / Pintura,Secundaria del Futuro 2do Piso 3Etapa
0200137,2023,Electricidad,Reemplazo de ventiladores en aulas
0200138,2023,Electricidad,"Instalacion es espacios seguros, Reemplazo y provision de ventiladores"
0200138,2023,Incendio,Reemplazo de extintores
0200139,2023,Albañileria / Pintura,Aulas SdF 2023- 9 aulas
0200139,2023,Cubiertas / Impermeabilizaciones,Remplazo de cañeria pluvial y cielorraso
0200139,2023,Electricidad,"Reparación de red telefónica interna, Instalacion de Generador Electrico Elect"
0200139,2023,Otros Servicios,Retiro de Materiales o Restos de Obra
0200140,2023,Albañileria / Pintura,Rep carpeta de piso del patio destechado
0200140,2023,Electricidad,"Renovacion de tableros eléctricos, Reponer 13 ventiladores de pared"
0200142,2023,Electricidad,Reemplazo de térmicas
0200142,2023,Gas,INFORME METROGAS
0200143,2023,Albañileria / Pintura,Reemplazo de Solados de Subsuelo y Tarea
0200144,2023,Albañileria / Pintura,Cambio de solado en patio descubierto
0200145,2023,Incendio,Reemplazo y provision de extintores
0200145,2023,Medios de elevación,Puesta en marcha del ascensor
0200148,2023,Albañileria / Pintura,"Provision y coloc de baldosas antigolpes, Impermeab terraza y solado antigole"
0200148,2023,Gas,"Adecuacion de instal de gas a normativa, Reemplazo de 3 estufas"
0200163,2023,Otros Servicios,Podar tres arboles
0200168,2023,Albañileria / Pintura,Construcción de depósito
0200173,2023,Calefaccion y Refrigeracion,Reemplazar 1 estufa
0200173,2023,Carpinterías,Cerradura puerta principal
0200174,2023,Calefaccion y Refrigeracion,Cambio de estufa
0200176,2023,Calefaccion y Refrigeracion,Reemplazar 1 estufa
0200176,2023,Electricidad,Instalacion Espacio Seguro
0200177,2023,Electricidad,Instalación de espacios seguro
0200177,2023,Incendio,Provisión/Colocación extintor ABC 5kg
0200178,2023,Calefaccion y Refrigeracion,Reparar equipo de aire acondicionado
0200178,2023,Electricidad,"Instalación de espacios seguro, readecuación instalación de gas"
0200179,2023,Electricidad,Instalación tablero de luces emergencia
0200180,2023,Calefaccion y Refrigeracion,Cambio de estufas
0200180,2023,Carpinterías,herrajes para las puertas nuevas
0200180,2023,Electricidad,implementar los medios espacios seguro
0200181,2023,Calefaccion y Refrigeracion,Cambio de estufas
0200181,2023,Electricidad,Prov. Coloc 2 ventiladores de pared
0200182,2023,Carpinterías,Pintura de puerta de entrada
0200183,2023,Albañileria / Pintura,Trabajos de pintura
0200183,2023,Calefaccion y Refrigeracion,Cambio de estufas
0200183,2023,Incendio,Reposición de matafuegos ABC
0200187,2023,Electricidad,Timbre lumínico para hipoacúsicos
0200188,2023,Electricidad,Reemplazo de ventiladores en varios sec
0200190,2023,Medios de elevación,Nueva rampa de acceso en hall escuela
0200190,2023,Sanitarias,Cambio cañería cloacal en baño varones
0200191,2023,Calefaccion y Refrigeracion,Instalación 2 estufas nuevas
0200191,2023,Electricidad,Insonorizacion campana
0200193,2023,Electricidad,Instalación de espacios seguro
0200193,2023,Incendio,Provisión/Colocación 12 extintores
0200194,2023,Otros Servicios,Instalación en espacios seguros
0200195,2023,Electricidad,"INSTALACION EN ESPACIOS SEGUROS, TENDIDO ELECTRICO Y CONEXION HORNO"
0200195,2023,Incendio,REPARACION BOMBA INCENDIO
0200196,2023,Cubiertas / Impermeabilizaciones,Impermeabilización casa casera
0200196,2023,Electricidad,Instalacion Espacio Seguro
0200197,2023,Albañileria / Pintura,Durlock
0200197,2023,Incendio,Reposición 1 matafuegos ABC
0200199,2023,Carpinterías,"Adecuación de SDF 2023, Prov y colocacion de ventanas en aulas"
0200199,2023,Electricidad,Reemplazo de ventiladores en aulas
0200200,2023,Albañileria / Pintura,Reemplazo de solados 5to piso frente
0200201,2023,Carpinterías,Reparacion dos hojas puerta Emerg
0200201,2023,Incendio,Provisión/Colocación extintor ABC 5kg
0200201,2023,Medios de elevación,"Reparar eje de polea, polea tensora"
0200214,2023,Carpinterías,Reparacion de puerta de espacios seguros
0200214,2023,Electricidad,Espacios seguros
0200216,2023,Carpinterías,Vidrios de ventana vandalizado
0200216,2023,Sanitarias,Reponer 8 griferías en lavarorios
0200223,2023,Albañileria / Pintura,Reparar pared/reponer azulejos B° mujer
0200223,2023,Carpinterías,Colocar alambrado en sector faltante
0200224,2023,Albañileria / Pintura,Servicio camion atmosferico
0200224,2023,Incendio,Luces de emergencia
0200224,2023,Sanitarias,TANQUE SISTERNA
0200225,2023,Carpinterías,Rehacer hormigón y coloc. candado
0200225,2023,Cubiertas / Impermeabilizaciones,Reparar filtraciones en techo
0200225,2023,Saneamiento,Desinsectacion
0200227,2023,Albañileria / Pintura,"Puesta en valor aula 2do, Puesta en valor aula 1ero"
0200227,2023,Electricidad,Reemplazo de ventiladores en aula.
0200229,2023,Albañileria / Pintura,"Cateos, Cateo contrafrente"
0200229,2023,Carpinterías,cerradura archivo
0200229,2023,Electricidad,"instalación de 16 ventiladores, Instalacion Espacio Seguro"
0200230,2023,Albañileria / Pintura,Espacio Seguro
0200230,2023,Calefaccion y Refrigeracion,Reparar equipo de aire acondicionado
0200231,2023,Albañileria / Pintura,Reparación y cambio de solado
0200232,2023,Gas,Tapa tanque; recambio estufas; chapa vec
0200233,2023,Carpinterías,Espacio seguro EN LA PLANILLA DE COMPUTO
0200235,2023,Calefaccion y Refrigeracion,Provision e instalación de 1 A°A°
0200236,2023,Albañileria / Pintura,"Reposición de paneles de Cielorraso, Reposición de percheros faltantes"
0200236,2023,Electricidad,"Gestión y Alquiler de GEM, Espacios seguros, Adecuacion de gas, Baja Tensión"
0200236,2023,Sanitarias,"Reemplazo de bombas,adecuacion tablero"
0200237,2023,Albañileria / Pintura,Reacondicionamiento de la dirección
0200238,2023,Albañileria / Pintura,Restauración de cielorraso
0200238,2023,Gas,Prov.colocacion de 2 estufas en aulas
0200239,2023,Electricidad,Recambio de inodoro
0200240,2023,Medios de elevación,Cargador para el montasiilas
0200242,2023,Calefaccion y Refrigeracion,Adecuacion de gas
0200243,2023,Electricidad,Recambio de inodoro
0200245,2023,Calefaccion y Refrigeracion,Remplazo 3 estufas + protecciones
0200250,2023,Albañileria / Pintura,Freno de deterioro - etapa 1
0200251,2023,Electricidad,Reemplazo de 4 ventiladores
0200252,2023,Carpinterías,Construcción de rampa para elecciones
0200253,2023,Electricidad,AULAS SECUNDARIAS DEL FUTURO
0200253,2023,Incendio,Reposición Balizas y Soporte Matafuegos
0200254,2023,Albañileria / Pintura,Freno deterioro
0200254,2023,Calefaccion y Refrigeracion,Reemplazo estufa/reposición 1 matafuegos
0200254,2023,Carpinterías,Cerraduras
0200254,2023,Electricidad,"Luces de emergencia, Instalacion Espacio Seguro"
0200256,2023,Electricidad,"Proteger cables expuestos en tablero, Instalación de espacios seguro"
0200257,2023,Electricidad,Espacio Seguro
0200259,2023,Albañileria / Pintura,Pintura en pasillos y alumnos
0200259,2023,Calefaccion y Refrigeracion,Estufa casera
0200259,2023,Carpinterías,"Colocar picaportes y cerraduras, Reparación de ventana aula planta alta"
0200259,2023,Incendio,Recarga de 3 extintores accionados
0200262,2023,Albañileria / Pintura,"SDF 2023. Adecuación, 2 aulas"
0200262,2023,Electricidad,"Traslado Tablero Eléctrico, Espacios seguros"
0200266,2023,Albañileria / Pintura,Reparacion muro sobre la línea municipal
0200266,2023,Calefaccion y Refrigeracion,Cambio de estufas
0200266,2023,Electricidad,Adecuar aulas de computación
0200266,2023,Sanitarias,Reparación de griferias vandalizadas
0200281,2023,Cubiertas / Impermeabilizaciones,"Trabajos a Reparación de Cubierta, Trabajos a Realizar Reparación de Cubier"
0200281,2023,Electricidad,"3 Aulas Secundaria del Futuro, Espacio Seguro, Espacio Seguro"
0200281,2023,Sanitarias,"Realizar nueva red cloacal hasta cámara, Descubrir cámara cloacal oculta y otros."
0200293,2023,Albañileria / Pintura,Demolición y limpieza de vivienda
0200293,2023,Incendio,Matafuegos abc en buffet
0200294,2023,Electricidad,Ejecucion Espacios Seguros
0200295,2023,Incendio,Adecuación sala bombas incendio
0200297,2023,Carpinterías,Rampa de acceso en madera
0200297,2023,Electricidad,Provisión y colocacion de ventiladores
0200298,2023,Sanitarias,Reemplazo cañeria bajada de tanque
0200299,2023,Calefaccion y Refrigeracion,Reemplazo de tramo de cañería de caldera
0200301,2023,Electricidad,Generador electrico
0200304,2023,Albañileria / Pintura,Instalación de malla metálica.
0200304,2023,Electricidad,Reemplazo de Ventiladores
0200304,2023,Gas,Colocar nuevo termotanque en jardín
0200305,2023,Electricidad,"Provisión y colocacion de ventiladores, Provisión y colocacion de ventiladores, Prov. Coloc Espacios Seguros"
0200307,2023,Sanitarias,Reemplazo cañería cloacal sanitarios
0200308,2023,Electricidad,Provisión y colocacion de ventiladores
0200308,2023,Sanitarias,Proveer y colocar inodoro B° Varones
0200309,2023,Electricidad,Reemplazo de 2 ventiladores de pared
0200310,2023,Electricidad,PROVISION E INST. DE VENTILADORES
0200310,2023,Otros Servicios,Reponer regulador de gas e instalacion
0200311,2023,Electricidad,PROVISION E INST. DE VENTILADORES
0200312,2023,Albañileria / Pintura,"Realizar plataforma, coloc piso goma"
0200312,2023,Calefaccion y Refrigeracion,"reemplazo cañería vapor colector caldera, Reparaciones cañeria de vapor PB"
0200312,2023,Carpinterías,Reemplazo puertas de 2 aulas
0200312,2023,Cubiertas / Impermeabilizaciones,Impermeabilizacion cubierta cocina comed
0200312,2023,Electricidad,"Instalacion tomacorrientes en aulas, reparacion maquina de traccion A4, Trabajos varios piso, termotanque"
0200312,2023,Saneamiento,Realizar desinsectacion arañas en museo
0200315,2023,Carpinterías,Malla protección en ventanas
0200315,2023,Gas,Provisión y conexión de 2 estufas
0200316,2023,Electricidad,Reemplazo de un ventilador de techo
0200318,2023,Electricidad,Reemplazar ventiladores de pared
0200319,2023,Electricidad,Instalación en espacios seguros
0200320,2023,Electricidad,"Reemp ventiladores en aulas y oficinas, Reemplazar y reubicar cajas electricas, Instalación en espacio seguro"
0200320,2023,Gas,Informe de Metrogas
0200320,2023,Sanitarias,Habilitar y mejorar cubiculos de baños
0200322,2023,Albañileria / Pintura,Realizar 3 aulas del futuro
0200322,2023,Calefaccion y Refrigeracion,Reemplazo de 2 estufas
0200322,2023,Carpinterías,Prov. e instalacion cortina blackout aul
0200322,2023,Electricidad,"2DA ETAPA-Adecuacion de inst de gas, Ejecución Espacios Seguros"
0200322,2023,Gas,"Adecuacion de gas en el edificio, Carpinterás - Placas antihumeddad"
0200323,2023,Carpinterías,Cambio de cerradura en puerta de acceso
0200323,2023,Electricidad,"Espacios seguros, Reemplazo de 3 ventiladores, Reposición central telefónica"
0200324,2023,Albañileria / Pintura,"Realizar 3 aulas del futuro, Renovacion de sector afectado incendio"
0200324,2023,Electricidad,"Realizacion de espacio digital, Reemplazar 21 ventiladores"
0200324,2023,Gas,Puesta a normativa de gas
0200324,2023,Medios de elevación,Prov e inst de contactora en ascensor
0200325,2023,Albañileria / Pintura,Aulas SdF 2023- 3 aulas
0200325,2023,Carpinterías,Prov y colocación de cortinas roller
0200326,2023,Carpinterías,Prov y colocación de cortinas roller
0200327,2023,Albañileria / Pintura,"Tratamiento ignifugo escalera madera, Realizacion 2 aulas SDF para 4to año"
0200327,2023,Calefaccion y Refrigeracion,Reemplazo 2 estufas y termotanque
0200327,2023,Cubiertas / Impermeabilizaciones,Extender Cubierta alero acceso aula
0200328,2023,Sanitarias,"Acondicionamiento gral sanitarios PB, Reemplazo de tanques de agua"
0200332,2023,Calefaccion y Refrigeracion,Colocación de equipos de calefacción
0200335,2023,Carpinterías,Terminacion reja parque y ventana
0200335,2023,Gas,Reemplazo termotanque y pintura hall
0200343,2023,Albañileria / Pintura,Reparacion de Terrazas y pintura interio
0200343,2023,Electricidad,PROVISION E INST. DE VENTILADORES
0200353,2023,Albañileria / Pintura,Reparar desprendimientos en pared.
